is_inpatient,is_groupcode,ChronicCond_rheumatoidarthritis,Beneficiaries_Count,DeductibleAmtPaid,InscClaimAmtReimbursed,ChronicCond_Alzheimer,ChronicCond_IschemicHeart,Days_Admitted,ChronicCond_stroke
5,5,8,24,213.6,4185.6,15,23,1.0,6
62,62,38,117,502.1666666666667,4588.409090909091,56,112,2.4242424242424243,12
0,0,46,138,2.0805369127516777,350.13422818791946,64,108,0.0,17
0,0,331,495,3.1759656652360517,241.1244635193133,426,895,0.0,124
3,3,22,58,45.333333333333336,468.19444444444446,26,51,0.2222222222222222,12
2,2,6,36,53.86046511627907,828.6046511627907,17,33,0.1860465116279069,2
1,1,16,53,23.58620689655172,286.7241379310345,25,44,0.0862068965517241,2
0,0,17,31,2.083333333333333,351.875,18,38,0.0,3
0,0,16,44,5.0,323.4782608695652,17,36,0.0,2
0,0,12,25,4.0,349.3333333333333,16,20,0.0,3
0,0,3,7,0.0,87.5,4,7,0.0,1
0,0,3,6,0.0,28.33333333333333,2,5,0.0,1
0,0,128,420,2.0388349514563107,277.126213592233,216,386,0.0,47
29,29,85,208,122.53696498054477,1357.3151750972763,94,196,0.5369649805447471,27
9,9,8,35,239.55555555555557,1822.5,16,30,0.8888888888888888,5
9,9,14,38,248.7692307692308,1642.3076923076924,15,29,1.0,6
13,13,26,76,164.183908045977,1360.344827586207,28,62,1.0459770114942528,6
0,0,23,56,4.473684210526316,261.05263157894734,30,50,0.0,6
0,0,13,44,0.0,563.0188679245283,23,43,0.0,8
0,0,28,79,1.7204301075268815,329.6774193548387,32,66,0.0,13
82,82,59,145,507.2982456140351,4326.081871345029,73,138,2.216374269005848,13
28,28,54,157,163.48108108108107,1944.4324324324325,90,151,0.8378378378378378,19
0,0,5,21,2.1739130434782608,235.65217391304347,9,16,0.0,3
1,1,7,25,47.6,1085.3333333333333,8,24,0.4666666666666667,8
0,0,82,131,5.071942446043166,269.3525179856115,99,201,0.0,19
23,23,132,206,56.22026431718061,753.8105726872246,195,363,0.2312775330396475,29
30,30,46,107,221.2198581560284,1882.90780141844,70,112,0.8581560283687943,14
9,9,20,69,102.13953488372093,865.9302325581396,35,66,1.1046511627906976,11
0,0,9,31,7.9411764705882355,217.94117647058823,16,24,0.0,2
0,0,38,128,2.183098591549296,338.38028169014086,50,108,0.0,13
0,0,5,20,0.0,194.7826086956522,8,15,0.0,0
0,0,21,39,2.2033898305084745,361.5254237288136,22,50,0.0,4
0,0,6,29,1.2903225806451613,270.64516129032256,16,23,0.0,2
8,8,17,26,227.47368421052636,2878.157894736842,14,35,0.9473684210526316,3
0,0,4,11,0.0,230.0,3,7,0.0,1
4,4,19,33,114.52631578947368,728.9473684210526,22,31,0.5,1
0,0,21,65,2.676056338028169,305.9154929577465,33,44,0.0,7
2,2,13,37,51.0,669.5652173913044,15,32,0.391304347826087,5
1,1,0,1,1068.0,8000.0,0,1,5.0,0
0,0,7,40,2.456140350877193,265.43859649122805,21,29,0.0,6
2,2,7,22,100.27272727272728,983.6363636363636,10,17,0.5,3
2,2,6,21,97.54545454545456,668.1818181818181,10,18,0.2727272727272727,5
0,0,2,4,0.0,1366.0,0,5,0.0,0
5,5,26,75,66.74698795180723,1289.5180722891566,31,66,0.4457831325301205,9
25,25,26,82,280.625,4386.041666666667,31,66,1.7916666666666667,10
5,5,13,42,127.14285714285714,1040.7142857142858,16,30,0.5714285714285714,4
1,1,37,67,9.158620689655171,378.8965517241379,36,104,0.0551724137931034,12
3,3,101,166,9.934508816120909,386.3476070528967,175,283,0.0327455919395466,51
0,0,41,115,1.0738255033557047,343.02013422818794,63,116,0.0,16
36,36,92,227,128.54125412541254,1189.1749174917493,110,239,0.6303630363036303,41
10,10,5,26,347.2142857142857,2734.6428571428573,12,23,2.0,7
2,2,6,21,93.16666666666669,1032.9166666666667,12,17,0.1666666666666666,2
12,12,15,49,225.79310344827587,5767.586206896552,17,43,1.362068965517241,3
9,9,76,214,34.42145593869732,548.8888888888889,99,182,0.1034482758620689,31
10,10,16,69,110.9090909090909,1266.767676767677,29,74,0.4141414141414141,12
0,0,5,24,2.083333333333333,356.25,12,21,0.0,4
12,12,70,160,57.443396226415096,562.122641509434,76,160,0.240566037735849,18
5,5,10,39,138.97435897435898,1055.6410256410256,15,34,0.3333333333333333,1
0,0,8,13,4.117647058823529,502.9411764705882,3,16,0.0,1
0,0,11,27,1.7241379310344829,352.7586206896552,13,26,0.0,4
16,16,13,30,491.5151515151515,6192.424242424242,16,29,2.878787878787879,4
9,9,5,23,375.82608695652175,3403.043478260869,7,16,2.608695652173913,4
6,6,55,131,35.84,620.4,96,164,0.18,27
0,0,7,31,2.0588235294117645,160.88235294117646,14,22,0.0,3
0,0,23,81,1.5555555555555556,201.11111111111111,37,73,0.0,10
20,20,43,85,199.0,1959.8181818181815,51,82,1.0272727272727271,14
31,31,39,115,238.61870503597123,3209.856115107914,46,109,1.079136690647482,10
18,18,65,197,82.0,1012.719298245614,77,169,0.4078947368421052,24
0,0,5,7,8.571428571428571,832.8571428571429,1,5,0.0,0
0,0,16,44,1.818181818181818,210.6818181818182,12,36,0.0,6
2,2,3,9,237.33333333333331,1523.3333333333333,3,8,1.3333333333333333,1
0,0,1,5,20.0,640.0,3,3,0.0,0
0,0,24,71,1.84,355.36,47,95,0.0,9
0,0,3,4,0.0,75.0,0,4,0.0,1
5,5,2,5,1068.0,15600.0,1,4,6.0,0
3,3,1,3,1068.0,5533.333333333333,2,3,3.333333333333333,1
12,12,6,11,1068.0,12333.333333333334,4,11,4.0,2
0,0,6,4,10.0,73.33333333333333,3,6,0.0,0
0,0,4,9,9.166666666666666,158.33333333333334,7,11,0.0,0
0,0,3,12,0.0,545.0,6,8,0.0,0
19,19,4,19,1011.7894736842104,8210.526315789473,11,17,5.2631578947368425,5
3,3,3,3,1068.0,6000.0,2,3,6.333333333333333,1
5,5,1,5,1068.0,5400.0,3,5,10.2,0
0,0,36,85,1.5151515151515151,415.6060606060606,49,91,0.0,18
0,0,99,195,2.664473684210526,346.2171052631579,114,221,0.0,22
0,0,46,78,4.166666666666667,351.43939393939394,48,106,0.0,5
0,0,95,160,2.137404580152672,292.82442748091603,90,201,0.0,18
0,0,2,6,2.857142857142857,140.0,3,4,0.0,0
0,0,5,10,0.0,162.5,3,12,0.0,1
16,16,4,16,934.5,8500.0,4,13,4.25,2
94,94,27,81,1020.8947368421052,11374.526315789471,47,82,5.91578947368421,12
7,7,1,7,1068.0,7428.571428571428,4,5,4.142857142857143,1
6,6,2,7,915.4285714285714,11582.857142857143,3,7,5.571428571428571,0
0,0,1,7,0.0,160.0,2,3,0.0,0
2,2,10,28,70.19354838709677,868.0645161290323,14,23,0.1612903225806451,1
12,12,13,32,272.8333333333333,2735.625,19,35,1.0833333333333333,10
20,20,4,14,1068.0,8850.0,12,20,6.5,2
5,5,15,38,106.8,2044.4,21,38,0.64,5
0,0,24,65,5.0,238.75,36,81,0.0,7
0,0,3,7,0.0,710.0,2,6,0.0,3
0,0,2,8,8.75,145.0,3,5,0.0,1
1,1,0,6,133.5,666.25,1,4,0.5,0
0,0,4,12,5.333333333333333,507.3333333333333,10,9,0.0,0
0,0,0,2,0.0,60.0,0,5,0.0,0
1,1,0,1,1068.0,20000.0,0,1,2.0,0
1,1,22,51,24.509090909090908,291.8181818181818,22,42,0.1272727272727272,2
1,1,10,21,41.07692307692308,516.5384615384615,6,20,0.0384615384615384,2
7,7,8,42,174.7906976744186,1222.7906976744189,15,32,0.627906976744186,3
47,47,156,394,103.52772073921972,930.4517453798768,184,359,0.5811088295687885,51
0,0,14,37,2.3943661971830985,274.50704225352115,18,43,0.0,5
7,7,7,38,147.76470588235293,2050.392156862745,17,41,1.0196078431372548,8
0,0,18,68,4.545454545454546,265.5844155844156,33,44,0.0,4
4,4,9,29,149.73333333333332,2040.6666666666667,11,24,0.6666666666666666,1
161,161,71,161,825.4851485148515,7952.227722772277,103,164,4.732673267326732,34
162,162,116,334,487.6988636363636,4775.3125,140,285,2.323863636363636,38
0,0,5,32,6.5625,276.875,10,18,0.0,1
34,34,103,263,109.98181818181818,1480.7878787878788,111,253,0.4151515151515151,31
116,116,54,136,837.5540540540541,7572.162162162162,65,122,4.398648648648648,25
22,22,71,225,99.99141630901288,863.9484978540772,106,179,0.3948497854077253,26
0,0,25,39,6.024096385542169,310.48192771084337,41,56,0.0,13
4,4,28,83,56.3448275862069,821.7241379310345,29,63,0.4022988505747126,7
0,0,60,147,4.906832298136646,284.16149068322983,66,106,0.0,18
0,0,34,110,1.391304347826087,228.95652173913044,52,76,0.0,10
0,0,172,425,3.1734317343173437,259.48339483394835,189,387,0.0,43
65,65,173,506,123.81370826010544,1402.091388400703,230,411,0.6432337434094904,63
90,90,43,110,843.3333333333334,7649.298245614035,53,86,4.464912280701754,23
41,41,121,334,113.93350383631712,1424.5012787723786,131,299,0.659846547314578,40
26,26,21,97,286.6122448979592,3364.285714285714,42,70,1.7448979591836735,14
1,1,3,5,213.6,4974.0,1,2,3.2,0
0,0,53,182,2.1578947368421053,273.57894736842104,80,151,0.0,13
9,9,31,86,112.4367816091954,924.9425287356322,38,68,0.5402298850574713,6
0,0,24,74,0.6493506493506493,251.6883116883117,32,53,0.0,10
8,8,8,16,534.0,9113.75,8,10,3.125,3
0,0,14,59,3.389830508474576,234.2372881355932,23,42,0.0,7
7,7,8,21,348.90909090909093,4376.818181818182,6,11,2.5,3
0,0,14,39,2.1951219512195124,235.3658536585366,22,35,0.0,5
0,0,131,399,1.9550561797752808,328.0449438202247,194,341,0.0,52
34,34,17,64,563.1076923076923,6633.538461538462,31,46,4.1692307692307695,6
0,0,10,26,0.0,192.30769230769232,12,13,0.0,3
2,2,44,86,18.72868217054264,730.5426356589147,46,93,0.0232558139534883,11
0,0,4,10,0.0,215.0,4,8,0.0,2
41,41,37,105,378.6725663716814,3148.5840707964603,36,85,1.6902654867256637,17
0,0,4,8,0.0,198.75,2,4,0.0,1
0,0,1,2,0.0,50.0,1,1,0.0,0
0,0,12,51,4.285714285714286,156.07142857142858,14,31,0.0,5
3,3,27,64,53.54545454545455,595.6060606060606,32,50,0.1666666666666666,4
0,0,5,30,2.8125,343.4375,11,22,0.0,2
2,2,2,9,237.33333333333331,2060.0,4,4,0.6666666666666666,0
0,0,235,432,2.430555555555556,273.69444444444446,244,544,0.0,64
0,0,1,3,5.0,60.0,0,1,0.0,0
